['1399051147', '592.0200', '592.2020', '592.0000', '592.1900', '5800', '2014-05-02 13:19:07']
['1399051200', '592.0940', '592.2099', '592.0000', '592.0200', '9900', '2014-05-02 13:20:00']
['1399051274', '592.0800', '592.2000', '592.0100', '592.2000', '7200', '2014-05-02 13:21:14']
['1399051325', '592.2100', '592.2100', '592.0200', '592.0800', '6300', '2014-05-02 13:22:05']
['1399051380', '592.4300', '592.5100', '592.2000', '592.2100', '9500', '2014-05-02 13:23:00']
['1399051445', '592.3500', '592.4100', '592.1100', '592.3900', '9600', '2014-05-02 13:24:05']
['1399051511', '592.3300', '592.3900', '592.2100', '592.3290', '4700', '2014-05-02 13:25:11']
['1399051574', '592.2180', '592.3875', '592.2180', '592.3100', '4200', '2014-05-02 13:26:14']
['1399051622', '592.2400', '592.3500', '592.2200', '592.2900', '11700', '2014-05-02 13:27:02']
['1399051680', '592.3180', '592.3700', '592.1400', '592.2100', '9100', '2014-05-02 13:28:00']
['1399051745', '592.0200', '592.2950', '591.8400', '592.2900', '18200', '2014-05-02 13:29:05']
['1399051859', '591.9705', '592.0200', '591.7500', '591.9900', '15200', '2014-05-02 13:30:59']
['1399051860', '592.0200', '592.0200', '591.9200', '591.9900', '12200', '2014-05-02 13:31:00']
['1399051920', '591.9100', '591.9999', '591.8000', '591.9900', '32800', '2014-05-02 13:32:00']
['1399051981', '591.8990', '591.9302', '591.8800', '591.9300', '3300', '2014-05-02 13:33:01']
['1399052040', '591.8400', '591.9700', '591.8400', '591.9600', '6000', '2014-05-02 13:34:00']
['1399052159', '591.8300', '592.0000', '591.8200', '591.8800', '4100', '2014-05-02 13:35:59']
['1399052164', '591.8600', '591.8600', '591.5800', '591.8200', '10400', '2014-05-02 13:36:04']
['1399052222', '591.8090', '591.8500', '591.7700', '591.8000', '1500', '2014-05-02 13:37:02']
['1399052294', '591.8700', '591.9000', '591.7000', '591.7900', '7500', '2014-05-02 13:38:14']
['1399052343', '591.8400', '591.9800', '591.7300', '591.7600', '7500', '2014-05-02 13:39:03']
['1399052413', '591.7800', '591.8240', '591.7000', '591.8240', '2200', '2014-05-02 13:40:13']
['1399052472', '591.6625', '591.8970', '591.4200', '591.7800', '9700', '2014-05-02 13:41:12']
['1399052520', '591.7000', '591.7460', '591.6300', '591.6733', '11800', '2014-05-02 13:42:00']
['1399052593', '591.5600', '591.7000', '591.4600', '591.6700', '19300', '2014-05-02 13:43:13']
['1399052641', '591.7700', '591.9300', '591.5500', '591.5500', '9500', '2014-05-02 13:44:01']
['1399052702', '592.0000', '592.0000', '591.8100', '591.8600', '10500', '2014-05-02 13:45:02']
['1399052763', '591.8435', '592.0900', '591.8200', '592.0500', '6200', '2014-05-02 13:46:03']
['1399052822', '592.0200', '592.0900', '591.8501', '591.8750', '11600', '2014-05-02 13:47:02']
['1399052883', '592.0405', '592.0900', '591.8800', '592.0300', '7900', '2014-05-02 13:48:03']
['1399052940', '591.9900', '592.0390', '591.7800', '592.0240', '6900', '2014-05-02 13:49:00']
['1399053011', '591.9300', '592.0600', '591.8700', '591.8700', '9600', '2014-05-02 13:50:11']
['1399053062', '591.8000', '591.9600', '591.7900', '591.9000', '3000', '2014-05-02 13:51:02']
['1399053120', '591.7400', '591.9200', '591.6900', '591.8200', '6300', '2014-05-02 13:52:00']
['1399053191', '591.7060', '591.8500', '591.6900', '591.7400', '4200', '2014-05-02 13:53:11']
['1399053243', '591.6500', '591.6900', '591.5000', '591.6900', '11600', '2014-05-02 13:54:03']
['1399053300', '591.4700', '591.6300', '591.4200', '591.6300', '14600', '2014-05-02 13:55:00']
['1399053362', '591.5900', '591.6600', '591.4500', '591.5000', '14100', '2014-05-02 13:56:02']
['1399053426', '591.4600', '591.6000', '591.4360', '591.5101', '9600', '2014-05-02 13:57:06']
['1399053538', '591.4700', '591.5800', '591.2800', '591.5000', '14400', '2014-05-02 13:58:58']
['1399053540', '591.1700', '591.4200', '591.1700', '591.3200', '8500', '2014-05-02 13:59:00']
['1399053600', '591.0000', '591.2200', '590.9500', '591.1370', '24800', '2014-05-02 14:00:00']
['1399053663', '591.0799', '591.1800', '590.9900', '591.0200', '8300', '2014-05-02 14:01:03']
['1399053721', '591.1270', '591.3600', '591.0800', '591.0800', '11300', '2014-05-02 14:02:01']
['1399053782', '591.2330', '591.3100', '591.0550', '591.1600', '27700', '2014-05-02 14:03:02']
['1399053848', '591.3400', '591.4900', '591.1100', '591.2200', '9200', '2014-05-02 14:04:08']
