['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 20000.0, 38.8, 'D', 742858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.84, 'D', 732858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 38.85, 'D', 722858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 30000.0, 39.0, 'D', 692858.0, 'D', 0]
['2005-05-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common stock', '2005-05-05', 'S', 10000.0, 39.05, 'D', 682858.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'M', 66720.0, 4.0938, 'A', 750297.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'M', 50000.0, 3.2657, 'A', 800297.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 1320.0, 44.85, 'D', 798977.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 3200.0, 44.83, 'D', 795777.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 9400.0, 44.8, 'D', 786377.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 18600.0, 44.78, 'D', 767777.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 7400.0, 44.79, 'D', 760377.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 8400.0, 44.77, 'D', 751977.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 18400.0, 44.75, 'D', 733577.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 40800.0, 44.75, 'D', 692777.0, 'D', 0]
['2005-07-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-07-27', 'S', 9200.0, 44.76, 'D', 683577.0, 'D', 0]
['2005-11-21', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-11-21', 'M', 120000.0, 3.2657, 'A', 803577.0, 'D', 0]
['2005-11-21', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-11-21', 'S', 120000.0, 54.02, 'D', 683577.0, 'D', 0]
['2005-12-21', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-12-21', 'M', 15000.0, 2.8594, 'A', 698577.0, 'D', 0]
['2005-12-21', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-12-21', 'M', 29640.0, 3.2657, 'A', 728217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'M', 120000.0, 3.2657, 'A', 848217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 39000.0, 61.69, 'D', 809217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 34000.0, 61.7, 'D', 775217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 20000.0, 61.79, 'D', 755217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 10000.0, 61.74, 'D', 745217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 7000.0, 61.76, 'D', 738217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 5000.0, 61.73, 'D', 733217.0, 'D', 0]
['2006-02-16', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-16', 'S', 5000.0, 61.72, 'D', 728217.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-27', 'G', 8347.0, 0.0, 'D', 719870.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-27', 'G', 1606.0, 0.0, 'D', 718264.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-02-27', 'G', 1323.0, 0.0, 'D', 716941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'M', 120000.0, 3.2657, 'A', 836941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 35000.0, 57.0, 'D', 801941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 22000.0, 57.02, 'D', 779941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 3000.0, 57.04, 'D', 776941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 10000.0, 57.05, 'D', 766941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 15000.0, 57.07, 'D', 751941.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 17500.0, 57.08, 'D', 734441.0, 'D', 0]
['2006-02-27', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2006-05-15', 'S', 17500.0, 57.09, 'D', 716941.0, 'D', 0]
